latitude,longitude,recap,species,length,width,tail,tail_notes,mass,mass_notes,left_tag,right_tag,notes,chel,burr,algae,mud,sea_squirts,fibropapilloma,damage,damage_notes,shark_damage,substrate,depth,condition
-25.82918,113.73233,no,loggerhead,75.5,73.5,-2,,NA,,88979,88905,NA,yes,no,thick,no,no,no,none,NA,0,seagrass,5,slightconcave
-25.80562,113.73395,no,green,108.5,97.5,39,,NA,,88901,88942,NA,no,no,thin,no,no,no,none,NA,0,seagrass,11,flat
-25.73143,113.63673,yes,loggerhead,99,88,-1,,NA,,54675,42658,NA,yes,no,thick,no,no,no,car,front of carapace bit trough pictures,1,sand,3,flat
-25.74542,113.66953,no,loggerhead,93,94,0,,NA,,87448,88902,NA,yes,no,thin,no,no,no,none,NA,0,sand,3.1,slightconcave
-25.73797,113.672,no,green,83.5,77.5,1,,NA,,88916,88915,NA,yes,yes,none,no,no,no,none,NA,0,seagrass,12,slightconcave
-25.72873,113.66785,yes,loggerhead,100,95.5,1.5,,NA,,83954,83976,NA,yes,no,none,no,no,no,none,NA,0,seagrass,6,flat
-25.74755,113.67172,no,green,85,81,2,,NA,,88908,88904,NA,yes,no,none,no,no,no,none,NA,0,sand,4.5,flat
-25.72847,113.63042,yes,loggerhead,107.5,97.5,-8,,NA,,88918,51626,NA,yes,no,thin,no,no,no,none,NA,0,sand,4,slightconcave
-25.73375,113.65635,yes,loggerhead,100,95,-2,,NA,,83954,83976,NA,yes,no,none,no,no,no,none,NA,0,sand,3.3,slightconcave
-25.7338,113.64833,no,green,89.5,82,6,,NA,,88922,88943,NA,yes,no,none,no,no,no,none,NA,0,sand,5,flat
-25.73375,113.64825,yes,loggerhead,105,94,28,,NA,,54678,54677,NA,yes,yes,thin,no,no,NA,none,NA,0,sand,6.2,flat
-25.7492,113.67193,no,loggerhead,105,92,29,,NA,,88914,88912,NA,yes,no,thick,no,no,no,none,NA,0,sand,4,slightconcave
-25.62908,113.59068,no,green,85,80.5,2,,NA,,88919,88925,NA,yes,no,thin,no,no,no,none,NA,0,sand,4.8,concave
-25.76437,113.7889,no,green,108.5,102,3,,NA,,88906,88927,NA,no,no,thin,no,no,no,none,NA,0,seagrass,8,flat
-25.77612,113.79348,no,green,97.5,95,3,,NA,,88948,88924,NA,yes,no,none,no,no,no,none,NA,0,seagrass,7,flat
-25.7768,113.79157,no,green,108,100,12,,NA,,88934,88933,NA,no,no,none,no,no,no,none,NA,0,seagrass,3.8,flat
-25.77185,113.7889,no,green,109,104,13,,NA,,87446,88950,NA,yes,yes,thin,no,no,no,none,NA,0,seagrass,3.6,flat
-25.79497,113.85742,yes,loggerhead,94,90,1.5,,NA,,41800,41799,NA,yes,no,thin,no,no,no,none,NA,0,sand,1.9,slightconcave
-25.79292,113.84805,no,green,82,76,2,,NA,,83977,88923,NA,no,no,thin,no,no,no,none,NA,0,seagrass,2,convex
-25.79211,113.85762,no,loggerhead,93,89,28.5,,NA,,83994,83981,NA,yes,no,thick,no,no,no,car,bite mark right side posterior; see data sheet,1,seagrass,3,flat
-25.72833,113.63272,yes,loggerhead,78,70,-2,,NA,,54958,54959,NA,yes,no,thick,no,no,no,none,NA,0,sand,3,flat
-25.72227,113.62368,no,loggerhead,98,85,-2,,NA,,83996,83980,NA,yes,no,thin,no,no,no,none,NA,0,sand,6,flat
